id,reference_id,amount,currency,date,status,can_cancel
1031579357,24221562,86,SAR,"2021-10-07 20:39:10.000000","تم الشحن",
983026224,24103061,196,SAR,"2021-10-05 19:10:50.000000","قيد التنفيذ",
1888668835,24097544,127,SAR,"2021-10-05 17:20:58.000000","قيد التنفيذ",
518552350,24097211,124.03,SAR,"2021-10-05 17:13:59.000000","تم التنفيذ",
1079785293,24090346,278,SAR,"2021-10-05 14:43:56.000000","قيد التنفيذ",
1445845189,24087906,124.03,SAR,"2021-10-05 13:48:42.000000","تم التنفيذ",
1856628277,24067986,151,SAR,"2021-10-05 01:50:49.000000","تم الشحن",
71254772,24052817,226,SAR,"2021-10-04 19:51:02.000000","قيد التنفيذ",
2115268301,24047466,124.03,SAR,"2021-10-04 17:56:02.000000","تم التنفيذ",
995845449,24044782,124.03,SAR,"2021-10-04 17:04:44.000000","تم التنفيذ",
1057677263,24034412,124.03,SAR,"2021-10-04 13:24:00.000000","تم التنفيذ",
1923012647,24030084,190.96,SAR,"2021-10-04 11:34:06.000000","تم التنفيذ",
1064743520,24027333,127,SAR,"2021-10-04 10:06:02.000000","جاري التوصيل",
970412498,24022903,261.77,SAR,"2021-10-04 06:58:45.000000","جاري التوصيل",
954156992,24013669,193,SAR,"2021-10-04 01:25:25.000000",مسترجع,
1528657741,24008426,115.3,SAR,"2021-10-03 23:49:50.000000","تم التنفيذ",
256397260,23981929,91.05,SAR,"2021-10-03 16:23:07.000000","جاري التوصيل",
1134105811,23980920,127,SAR,"2021-10-03 16:01:22.000000","جاري التوصيل",
1291057625,23974014,176,SAR,"2021-10-03 13:33:33.000000",ملغي,
455042093,23972234,124.03,SAR,"2021-10-03 12:54:09.000000","جاري التوصيل",
594504924,23970425,252.2,SAR,"2021-10-03 12:09:53.000000","جاري التوصيل",
133708357,23964642,124.03,SAR,"2021-10-03 09:07:20.000000","جاري التوصيل",
1156986817,23960166,133.73,SAR,"2021-10-03 05:40:22.000000","جاري التوصيل",
1974153804,23952617,142.46,SAR,"2021-10-03 01:34:55.000000","جاري التوصيل",
901678652,23951513,220.06,SAR,"2021-10-03 01:13:51.000000","جاري التوصيل",
1233291811,23950728,151,SAR,"2021-10-03 00:58:47.000000",مسترجع,
